facility_id,name,state,agency,rec_area,lat,lon,reservable,booking,total_sites,electric,water,sewer,pets,campfires,max_rv_length_ft,confirmed_free,book_url,nps_url
10028678,Saguaro National Park Wilderness Permits,AZ,NPS,Saguaro National Park,32.193491,-110.575129,True,reservable,21,False,False,False,False,True,,False,https://www.recreation.gov/camping/campgrounds/10028678,
10028875,Big Bend Backcountry Camping,TX,NPS,Big Bend National Park,29.327815,-103.205956,True,reservable,112,False,False,False,True,False,30,False,https://www.recreation.gov/camping/campgrounds/10028875,
10029004,Mchenry Avenue Recreation Area,CA,USACE,Stanislaus River Parks,37.779158,-120.843304,True,reservable,13,False,False,False,True,True,,False,https://www.recreation.gov/camping/campgrounds/10029004,
10029012,Valley Oak Recreation Area,CA,USACE,Stanislaus River Parks,37.779158,-120.843304,True,reservable,11,False,False,False,True,False,,False,https://www.recreation.gov/camping/campgrounds/10029012,
10032028,Moqui Group Campground,AZ,FS,Coconino National Forest Recreation,34.596145,-111.198674,True,reservable,3,False,False,False,True,True,,False,https://www.recreation.gov/camping/campgrounds/10032028,
10035048,Applegate Cove,OK,USACE,Arkansas River - Robert S. Kerr Pool,35.349505,-94.779846,True,reservable,28,True,True,False,True,False,,False,https://www.recreation.gov/camping/campgrounds/10035048,
10035081,Cowlington Point,OK,USACE,Arkansas River - Robert S. Kerr Pool,35.349505,-94.779846,True,reservable,38,True,True,False,True,False,,False,https://www.recreation.gov/camping/campgrounds/10035081,
10035281,Short Mountain Cove,OK,USACE,Arkansas River - Robert S. Kerr Pool,35.349505,-94.779846,True,reservable,43,True,True,False,True,False,,False,https://www.recreation.gov/camping/campgrounds/10035281,
10038712,Card Creek,KS,USACE,Elk City Lake,37.277260,-95.786650,True,reservable,20,True,True,False,True,True,89,False,https://www.recreation.gov/camping/campgrounds/10038712,
10038733,Doris Campground,OK,FWS,Wichita Mountains Wildlife Refuge,34.719333,-98.649530,True,reservable,93,True,False,False,True,True,,False,https://www.recreation.gov/camping/campgrounds/10038733,
10038827,Ivans,IA,USACE,Lake Red Rock,41.370800,-92.979400,True,reservable,21,True,False,False,True,True,60,False,https://www.recreation.gov/camping/campgrounds/10038827,
10038964,Outlet Channel,KS,USACE,Elk City Lake,37.277260,-95.786650,True,reservable,15,True,True,False,True,True,,False,https://www.recreation.gov/camping/campgrounds/10038964,
10038980,Rattan Landing,OK,USACE,Hugo Lake,34.016634,-95.376670,True,reservable,13,True,True,False,True,False,,False,https://www.recreation.gov/camping/campgrounds/10038980,
